,feature,importance,normalized_importance,cumulative_importance
174,offer_id_2287.0,4.0,0.0017921146953405014,0.6748207885304659
175,offer_id_111.0,4.0,0.0017921146953405014,0.6766129032258064
176,isp_6317.0,4.0,0.0017921146953405014,0.6784050179211468
177,isp_47873.0,4.0,0.0017921146953405014,0.6801971326164873
178,geo_KE,4.0,0.0017921146953405014,0.6819892473118278
179,region_code_9964.0,3.9000000000000004,0.001747311827956989,0.6837365591397847
180,banner_id_23736555.0,3.9,0.0017473118279569889,0.6854838709677417
181,banner_id_23814940.0,3.9,0.0017473118279569889,0.6872311827956986
182,region_code_31.0,3.9,0.0017473118279569889,0.6889784946236556
183,region_code_7.0,3.8999999999999995,0.0017473118279569886,0.6907258064516125
184,region_code_9994.0,3.8999999999999995,0.0017473118279569886,0.6924731182795695
185,banner_id_21333841.0,3.8000000000000007,0.0017025089605734766,0.6941756272401429
186,mobile_isp_1120.0,3.8000000000000003,0.0017025089605734764,0.6958781362007164
187,geo_KW,3.8000000000000003,0.0017025089605734764,0.6975806451612898
188,offer_id_492.0,3.8000000000000003,0.0017025089605734764,0.6992831541218633
189,zone_id_11716603.0,3.8,0.0017025089605734764,0.7009856630824367
190,banner_id_21511924.0,3.8,0.0017025089605734764,0.7026881720430102
191,city_code_43815.0,3.8,0.0017025089605734764,0.7043906810035836
192,lang_es,3.8,0.0017025089605734764,0.706093189964157
193,region_code_10011.0,3.8,0.0017025089605734764,0.7077956989247305
194,advertiser_id_626196.0,3.7999999999999994,0.0017025089605734762,0.7094982078853039
195,isp_81500.0,3.7999999999999994,0.0017025089605734762,0.7112007168458774
196,zone_id_11195384.0,3.7,0.0016577060931899639,0.7128584229390673
197,advertiser_id_17528.0,3.7,0.0016577060931899639,0.7145161290322573
198,zone_id_1619267.0,3.6999999999999997,0.0016577060931899637,0.7161738351254472
199,isp_20972.0,3.6,0.0016129032258064514,0.7177867383512536
200,affiliate_id_3181158.0,3.6,0.0016129032258064514,0.71939964157706
201,isp_115130.0,3.6,0.0016129032258064514,0.7210125448028665
202,isp_87698.0,3.5999999999999996,0.0016129032258064512,0.7226254480286729
203,isp_104045.0,3.5999999999999996,0.0016129032258064512,0.7242383512544793
204,region_code_8.0,3.5000000000000004,0.001568100358422939,0.7258064516129022
205,zone_id_12444354.0,3.5,0.0015681003584229387,0.7273745519713252
206,lang_el,3.5,0.0015681003584229387,0.7289426523297481
207,isp_12842.0,3.5,0.0015681003584229387,0.730510752688171
208,browser_edge,3.5,0.0015681003584229387,0.7320788530465939
209,zone_id_42147.0,3.5,0.0015681003584229387,0.7336469534050168
210,zone_id_7769635.0,3.5,0.0015681003584229387,0.7352150537634398
211,banner_id_23150250.0,3.4999999999999996,0.0015681003584229385,0.7367831541218627
212,banner_id_21459202.0,3.4999999999999996,0.0015681003584229385,0.7383512544802856
213,banner_id_24115922.0,3.4999999999999996,0.0015681003584229385,0.7399193548387085
214,geo_BR,3.4000000000000004,0.0015232974910394264,0.7414426523297479
215,banner_id_23223420.0,3.4000000000000004,0.0015232974910394264,0.7429659498207873
216,banner_id_22900164.0,3.4000000000000004,0.0015232974910394264,0.7444892473118268
217,zone_id_12238794.0,3.4,0.0015232974910394262,0.7460125448028662
218,advertiser_id_340081.0,3.4,0.0015232974910394262,0.7475358422939056
219,isp_104735.0,3.4,0.0015232974910394262,0.749059139784945
220,region_code_23912.0,3.3999999999999995,0.001523297491039426,0.7505824372759844
221,region_code_38.0,3.3999999999999995,0.001523297491039426,0.7521057347670238
222,isp_107177.0,3.3999999999999995,0.001523297491039426,0.7536290322580632
223,isp_115862.0,3.3000000000000003,0.0014784946236559137,0.7551075268817191
224,city_code_14276.0,3.3000000000000003,0.0014784946236559137,0.756586021505375
